Alimentos          ,unidad       ,Proteinas  ,Carbohidratos  ,Grasas    ,Calorias ,Volumen     ,Costo   ,Inventario inicial ,Dias por vencer
arroz blanco       ,(1kg)        ,"26.6"     ,"279"          ,"2.8"     ,"1290"   ,"0.001250"  ,"1"     ,"2"                ,"3"
azucar             ,(1kg)        ,"0"        ,"999.8"        ,"0"       ,"3870"   ,"0.000945"  ,"1"     ,"0"                ,"3"
te                 ,20 bolsitas  ,"0.4"      ,"15.2"         ,"0"       ,"40"     ,"0.000428"  ,"1"     ,"2"                ,"3"
harina             ,(1kg)        ,"103.3"    ,"763.1"        ,"9.8"     ,"3640"   ,"0.000600"  ,"1"     ,"2"                ,"3"
sal                ,(1kg)        ,"0"        ,"0"            ,"0"       ,"0"      ,"0.000945"  ,"1"     ,"2"                ,"3"
fideos             ,(400g)       ,"45.1"     ,"250.1"        ,"20.6"    ,"1370"   ,"0.000397"  ,"1"     ,"2"                ,"3"
salsa de tomate    ,(200g)       ,"3.48"     ,"50.16"        ,"0.76"    ,"194"    ,"0.000208"  ,"1"     ,"2"                ,"3"
sopas instantaneas ,(70g)        ,"6.93"     ,"46.55"        ,"3.01"    ,"241.5"  ,"0.000050"  ,"1"     ,"2"                ,"3"
leche en polvo     ,(1kg)        ,"260"      ,"384"          ,"270"     ,"4960"   ,"0"         ,"1"     ,"2"                ,"3"
durazno en conserva,580g         ,"2.32"     ,"64.38"        ,"0.58"    ,"243.6"  ,"0"         ,"1"     ,"2"                ,"3"
atun/jurel natural ,160g         ,"40.816"   ,"0"            ,"1.312"   ,"185.6"  ,"0.000199"  ,"1"     ,"2"                ,"3"
pure instantaneo   ,250g         ,"19"       ,"187.5"        ,"2.75"    ,"850"    ,"0"         ,"1"     ,"2"                ,"3"
cereales           ,1kg          ,"72.4"     ,"830.2"        ,"33.8"    ,"3760"   ,"0"         ,"1"     ,"2"                ,"3"
porotos            ,1kg          ,"224.7"    ,"614.1"        ,"14.5"    ,"3400"   ,"0.003125"  ,"1"     ,"2"                ,"3"
garbanzos          ,1kg          ,"95.4"     ,"299.8"        ,"29.9"    ,"1800"   ,"0.003125"  ,"1"     ,"2"                ,"3"
lentejas           ,1kg          ,"258"      ,"600.8"        ,"1.06"    ,"353"    ,"0.003125"  ,"1"     ,"2"                ,"3"
aceite vegetal     ,0.921         ,"0"        ,"0"            ,"921"    ,"8141.64","0"         ,"1"     ,"2"                ,"3"
